proposer_name,responder_name,proposer_race,responder_race
Mr. Wu,Mr. Avila,Asian,Hispanic
Mr. Zamora,Mr. Ho,Hispanic,Asian
Ms. Hardnett,Mr. Chu,Black,Asian
Mr. Wu,Ms. Prophete,Asian,Black
Ms. Melendez,Mr. Her,Hispanic,Asian
Mr. Oh,Ms. Xiong,Asian,Asian
Mr. Vu,Ms. Abebe,Asian,Black
Mr. Vassell,Mr. Velazquez,Black,Hispanic
Mr. Pierrelouis,Ms. Zimmerman,Black,White
Ms. Melendez,Ms. Bekele,Hispanic,Black
Ms. Kwon,Ms. Kamara,Asian,Black
Ms. Yoon,Ms. He,Asian,Asian
Mr. Vargas,Ms. Brennan,Hispanic,White
Ms. Xu,Ms. Mejia,Asian,Hispanic
Ms. Laughing,Ms. Notah,Native,Native
Mr. Han,Ms. Frimpong,Asian,Black
Ms. Huber,Ms. Jeancharles,White,Black
Ms. Atcitty,Ms. Desir,Native,Black
Mr. Saintlouis,Mr. Birdinground,Black,Native
Ms. Hu,Mr. Bangura,Asian,Black
Mr. Bartlett,Ms. Hoang,White,Asian
Mr. Zhao,Mr. Becker,Asian,White
Mr. Owusu,Mr. Fischer,Black,White
Mr. Snyder,Ms. Meza,White,Hispanic
Ms. Exantus,Ms. Parsons,Black,White
Mr. Wauneka,Mr. Soto,Native,Hispanic
Mr. Xiong,Ms. Lai,Asian,Asian
Mr. Perez,Ms. Hwang,Hispanic,Asian
Mr. Ng,Mr. Sesay,Asian,Black
Mr. Morales,Mr. Zamora,Hispanic,Hispanic
Ms. Hess,Ms. Salinas,White,Hispanic
Mr. Jeanbaptiste,Mr. Perez,Black,Hispanic
Ms. Laughing,Mr. Mayweather,Native,Black
Ms. Stark,Ms. Molina,White,Hispanic
Mr. Tang,Ms. Juarez,Asian,Hispanic
Ms. Lopez,Ms. Chavez,Hispanic,Hispanic
Ms. Manuelito,Ms. Decker,Native,White
Ms. Hahn,Mr. Yu,White,Asian
Mr. Abdullahi,Mr. Peck,Black,White
Ms. Duong,Ms. Lor,Asian,Asian
Mr. Warsame,Mr. Tam,Black,Asian
Ms. Mwangi,Mr. Abebe,Black,Black
Ms. Belizaire,Mr. Etsitty,Black,Native
Mr. Shije,Mr. Larson,Native,White
Ms. Lesane,Ms. Shaffer,Black,White
Ms. Jeancharles,Ms. Sexton,Black,White
Ms. Beck,Mr. Zhu,White,Asian
Mr. Rodriguez,Mr. Tsethlikai,Hispanic,Native
Mr. Bitsui,Ms. Frimpong,Native,Black
Mr. Olanna,Mr. Exantus,Native,Black
Mr. Secatero,Mr. Njoroge,Native,Black
Mr. Vang,Ms. Sweeney,Asian,White
Mr. Asare,Ms. Estrada,Black,Hispanic
Mr. Atcitty,Ms. Desir,Native,Black
Ms. Nielsen,Mr. Xu,White,Asian
Mr. Tessay,Ms. Mendez,Native,Hispanic
Mr. Kebede,Ms. Friedman,Black,White
Ms. Castaneda,Ms. Rios,Hispanic,Hispanic
Ms. Hebert,Ms. Hoover,White,White
Ms. Nez,Mr. Nielsen,Native,White
Mr. Cheng,Mr. Hanson,Asian,White
Ms. Thao,Mr. Rojas,Asian,Hispanic
Mr. Herrera,Ms. Thai,Hispanic,Asian
Mr. Bienaime,Ms. Larson,Black,White
Mr. Warsame,Mr. Ayala,Black,Hispanic
Mr. Petitfrere,Ms. Wauneka,Black,Native
Mr. Zimmerman,Mr. Kidane,White,Black
Mr. Kaur,Mr. Barrera,Asian,Hispanic
Ms. Gao,Mr. Russo,Asian,White
Ms. Olsen,Mr. Ndiaye,White,Black
Ms. Valenzuela,Mr. Jiang,Hispanic,Asian
Mr. Dougherty,Mr. Torres,White,Hispanic
Ms. Boykins,Ms. Koch,Black,White
Mr. Carlson,Ms. Obrien,White,White
Mr. Kang,Ms. Zhao,Asian,Asian
Ms. Tsinnie,Mr. Delgarito,Native,Native
Ms. Petitfrere,Mr. Luong,Black,Asian
Mr. Barrera,Ms. Jain,Hispanic,Asian
Mr. Tapaha,Mr. Berger,Native,White
Mr. Friedman,Mr. Sandoval,White,Hispanic
Mr. Okeke,Mr. Straughter,Black,Black
Mr. Luong,Mr. Chowdhury,Asian,Asian
Mr. Klein,Mr. Velazquez,White,Hispanic
Mr. Smalls,Ms. Clah,Black,Native
Mr. Nwosu,Ms. Hernandez,Black,Hispanic
Ms. Chau,Ms. Kramer,Asian,White
Ms. Garcia,Mr. Dayzie,Hispanic,Native
Mr. Hebert,Ms. Manygoats,White,Native
Ms. Her,Mr. Cline,Asian,White
Ms. Fluellen,Ms. Shaffer,Black,White
Ms. Hernandez,Ms. Yellowhair,Hispanic,Native
Ms. Chowdhury,Mr. Kameroff,Asian,Native
Ms. Hu,Mr. Atcitty,Asian,Native
Ms. Bekele,Mr. Littlelight,Black,Native
Ms. Solis,Mr. Tapaha,Hispanic,Native
Mr. Gishie,Ms. Dinh,Native,Asian
Mr. Swanson,Ms. Boykins,White,Black
Mr. Hartman,Mr. Ngo,White,Asian
Ms. Keams,Mr. Stein,Native,White
Mr. Fobbs,Ms. Foley,Black,White
Mr. Dougherty,Mr. Kidane,White,Black
Mr. Padilla,Mr. Her,Hispanic,Asian
Mr. Mahoney,Mr. Erickson,White,White
Mr. Calderon,Ms. Torres,Hispanic,Hispanic
Mr. Gonzalez,Ms. Morales,Hispanic,Hispanic
Ms. Ayze,Ms. Snyder,Native,White
Mr. Guo,Ms. Kameroff,Asian,Native
Ms. Hanson,Ms. Swanson,White,White
Ms. Sanchez,Mr. Benallie,Hispanic,Native
Mr. Liang,Ms. Yoder,Asian,White
Mr. Whitehat,Mr. Espinoza,Native,Hispanic
Mr. Fuentes,Ms. Garcia,Hispanic,Hispanic
Mr. Maldonado,Ms. Roth,Hispanic,White
Ms. Jeancharles,Mr. Sexton,Black,White
Ms. Gutierrez,Mr. Warsame,Hispanic,Black
Ms. Mehta,Mr. Poorbear,Asian,Native
Mr. Oconnor,Ms. Boateng,White,Black
Ms. Yellowman,Ms. Keams,Native,Native
Ms. Jimenez,Ms. Tsosie,Hispanic,Native
Mr. Vassell,Ms. Huang,Black,Asian
Mr. Ng,Ms. Boyle,Asian,White
Mr. Todacheene,Mr. Ortiz,Native,Hispanic
Mr. Shah,Ms. Cline,Asian,White
Mr. Salinas,Mr. Gonzalez,Hispanic,Hispanic
Ms. Hyppolite,Ms. Mccarthy,Black,White
Mr. Sharma,Ms. Bitsie,Asian,Native
Ms. Bitsuie,Mr. Tesfaye,Native,Black
Mr. Rios,Ms. Weiss,Hispanic,White
Mr. Bedonie,Mr. Johnston,Native,White
Ms. Hurley,Ms. Friedman,White,White
Mr. Ulysse,Mr. Friedman,Black,White
Mr. Werito,Ms. Cosay,Native,Native
Mr. Begay,Mr. Kamara,Native,Black
Ms. Nguyen,Mr. Ganadonegro,Asian,Native
Mr. Nielsen,Ms. Clitso,White,Native
Ms. Addo,Ms. Medina,Black,Hispanic
Ms. Tesfaye,Mr. Addo,Black,Black
Mr. Shije,Ms. Keita,Native,Black
Ms. Soto,Mr. Tesfaye,Hispanic,Black
Mr. Tesfaye,Ms. Yellowhair,Black,Native
Mr. Schultz,Mr. Nez,White,Native
Ms. Bitsui,Mr. Gishie,Native,Native
Mr. Bitsui,Ms. Liu,Native,Asian
Ms. Lu,Ms. Schaefer,Asian,White
Mr. Yoon,Mr. Ryan,Asian,White
Mr. Hoffman,Ms. Talayumptewa,White,Native
Ms. Desta,Mr. Mensah,Black,Black
Mr. Castillo,Ms. Ngo,Hispanic,Asian
Mr. Kwon,Ms. Kamara,Asian,Black
Mr. Heavyrunner,Ms. Ganadonegro,Native,Native
Ms. Twobulls,Mr. Bitsie,Native,Native
Ms. Henio,Ms. Yang,Native,Asian
Ms. Mueller,Mr. Carlson,White,White
Mr. Yellowhair,Mr. Tan,Native,Asian
Ms. Gutierrez,Ms. Yepa,Hispanic,Native
Mr. Yu,Ms. Madplume,Asian,Native
Ms. Osei,Mr. Hu,Black,Asian
Ms. Twobulls,Ms. Macias,Native,Hispanic
Mr. Thai,Ms. Gutierrez,Asian,Hispanic
Mr. Lai,Ms. Gallagher,Asian,White
Mr. Tam,Mr. Henio,Asian,Native
Ms. Twobulls,Mr. Han,Native,Asian
Mr. Vo,Mr. Ganadonegro,Asian,Native
Mr. Gallegos,Ms. Obrien,Hispanic,White
Ms. Coaxum,Ms. Yan,Black,Asian
Ms. Prophete,Mr. Hoover,Black,White
Ms. Keller,Ms. Atcitty,White,Native
Ms. Estrada,Mr. Castaneda,Hispanic,Hispanic
Mr. Avila,Mr. Vue,Hispanic,Asian
Mr. Tan,Mr. Jiang,Asian,Asian
Ms. Larson,Mr. Boyle,White,White
Ms. Klein,Mr. Ngo,White,Asian
Mr. Abdullahi,Mr. Cheng,Black,Asian
Mr. Gao,Ms. Petitfrere,Asian,Black
Mr. Foley,Ms. Gadson,White,Black
Mr. Hosteen,Mr. Roanhorse,Native,Native
Ms. Tran,Ms. Vassell,Asian,Black
Ms. Bitsui,Ms. Frimpong,Native,Black
Ms. Liang,Mr. Melendez,Asian,Hispanic
Mr. Thao,Ms. Kamara,Asian,Black
Mr. Duong,Ms. Espinoza,Asian,Hispanic
Ms. Gao,Ms. Vega,Asian,Hispanic
Ms. Okeke,Ms. Cheng,Black,Asian
Ms. Patel,Ms. Tsinnie,Asian,Native
Mr. Brennan,Ms. Lai,White,Asian
Mr. Desta,Mr. Kaur,Black,Asian
Ms. Sharma,Mr. Vazquez,Asian,Hispanic
Mr. Hansen,Ms. Dayzie,White,Native
Ms. Pineda,Ms. Shen,Hispanic,Asian
Ms. Meza,Mr. Saintlouis,Hispanic,Black
Mr. Yepa,Ms. Asare,Native,Black
Mr. Salazar,Mr. Yang,Hispanic,Asian
Mr. Spottedeagle,Mr. Gallegos,Native,Hispanic
Ms. Contreras,Mr. Bullbear,Hispanic,Native
Ms. Ly,Mr. Zuniga,Asian,Hispanic
Mr. Garcia,Mr. Leaks,Hispanic,Black
Ms. Colelay,Mr. Belizaire,Native,Black
Ms. Oh,Mr. Beck,Asian,White
Ms. Krueger,Mr. Sanchez,White,Hispanic
Ms. Apachito,Mr. Salas,Native,Hispanic
Ms. Saintlouis,Mr. Kidane,Black,Black
Ms. Claw,Ms. Castillo,Native,Hispanic
Mr. Yoder,Mr. Johnston,White,White
Ms. Ahasteen,Ms. Keams,Native,Native
Ms. Galvan,Ms. Friedman,Hispanic,White
Ms. Saintil,Mr. Colelay,Black,Native
Ms. Torres,Mr. Schaefer,Hispanic,White
Ms. Ramirez,Mr. Beck,Hispanic,White
Mr. Frimpong,Ms. Arias,Black,Hispanic
Mr. Okoro,Mr. Weiss,Black,White
Mr. Nielsen,Ms. Hurley,White,White
Mr. Conrad,Mr. Duong,White,Asian
Mr. Dong,Mr. Cheung,Asian,Asian
Mr. Bauer,Mr. Sesay,White,Black
Mr. Thai,Mr. Gutierrez,Asian,Hispanic
Ms. Standingrock,Mr. Cao,Native,Asian
Mr. Attakai,Ms. Chavez,Native,Hispanic
Mr. Munoz,Mr. Rios,Hispanic,Hispanic
Ms. Jalloh,Ms. Russo,Black,White
Ms. Serrano,Mr. Kidane,Hispanic,Black
Ms. Spottedhorse,Mr. Perez,Native,Hispanic
Ms. Marquez,Mr. Nielsen,Hispanic,White
Mr. Odonnell,Ms. Figueroa,White,Hispanic
Mr. Pham,Mr. Zhang,Asian,Asian
Ms. Flores,Ms. Tan,Hispanic,Asian
Mr. Robles,Mr. Chasinghawk,Hispanic,Native
Mr. Galvan,Mr. Leung,Hispanic,Asian
Mr. Oneill,Ms. Grandberry,White,Black
Mr. Vazquez,Ms. Case,Hispanic,White
Ms. Cao,Ms. Vo,Asian,Asian
Mr. Hu,Mr. Espinoza,Asian,Hispanic
Mr. Yu,Mr. Shah,Asian,Asian
Mr. Stfleur,Ms. Beyene,Black,Black
Mr. Donovan,Ms. Littlewhiteman,White,Native
Ms. Werito,Mr. Ravenell,Native,Black
Mr. Zheng,Ms. Jiang,Asian,Asian
Mr. Hoffman,Mr. Marquez,White,Hispanic
Ms. Maldonado,Mr. Sandoval,Hispanic,Hispanic
Ms. Fry,Mr. Guo,White,Asian
Mr. Morales,Ms. Chery,Hispanic,Black
Mr. Frimpong,Mr. Adjei,Black,Black
Mr. Addo,Ms. Goseyun,Black,Native
Mr. Arias,Ms. Wang,Hispanic,Asian
Mr. Okafor,Mr. Cabrera,Black,Hispanic
Mr. Tran,Ms. Vassell,Asian,Black
Mr. Wolf,Mr. Le,White,Asian
Mr. Yohannes,Mr. Christensen,Black,White
Mr. Littledog,Mr. Jama,Native,Black
Ms. Tessay,Ms. Johnston,Native,White
Ms. Vang,Mr. Luong,Asian,Asian
Mr. Mwangi,Mr. Morales,Black,Hispanic
Ms. Begaye,Mr. Trevino,Native,Hispanic
Mr. Salazar,Mr. Jalloh,Hispanic,Black
Mr. Coaxum,Ms. Pineda,Black,Hispanic
Ms. Schultz,Mr. Velez,White,Hispanic
Ms. Le,Ms. Estrada,Asian,Hispanic
Ms. Kwon,Ms. Cervantes,Asian,Hispanic
Ms. Jama,Ms. Olson,Black,White
Mr. Zuniga,Ms. Begaye,Hispanic,Native
Mr. Kline,Ms. Cervantes,White,Hispanic
Ms. Walkingeagle,Ms. Ramirez,Native,Hispanic
Ms. Olanna,Mr. Tessay,Native,Native
Ms. Lin,Ms. Gallegos,Asian,Hispanic
Ms. Le,Ms. Ajayi,Asian,Black
Mr. Dougherty,Mr. Schultz,White,White
Mr. Conteh,Ms. Walsh,Black,White
Mr. Okeke,Mr. Mcmahon,Black,White
Ms. Jensen,Ms. Oconnor,White,White
Ms. Ngo,Ms. Sun,Asian,Asian
Mr. Sexton,Mr. Mensah,White,Black
Mr. Dao,Ms. Hoover,Asian,White
Mr. Frimpong,Ms. Notafraid,Black,Native
Ms. Snyder,Ms. Tapaha,White,Native
Ms. Kameroff,Mr. Ochoa,Native,Hispanic
Ms. Todacheenie,Ms. Mayweather,Native,Black
Mr. Lim,Mr. Zamora,Asian,Hispanic
Mr. Desta,Mr. Chinana,Black,Native
Ms. Oneill,Ms. Nez,White,Native
Ms. Hess,Mr. Patel,White,Asian
Ms. Bitsie,Ms. Tam,Native,Asian
Mr. Nwosu,Ms. Pan,Black,Asian
Mr. Delgarito,Ms. Etcitty,Native,Native
Ms. Guzman,Mr. Bah,Hispanic,Black
Mr. Petersen,Mr. Munoz,White,Hispanic
Mr. Blueeyes,Ms. Yoo,Native,Asian
Ms. Molina,Mr. Espinoza,Hispanic,Hispanic
Mr. Kameroff,Ms. Hailu,Native,Black
Ms. Bienaime,Mr. Larson,Black,White
Ms. Perez,Mr. Delgarito,Hispanic,Native
Ms. Wu,Ms. Li,Asian,Asian
Mr. Rosales,Ms. Leaks,Hispanic,Black
Ms. Cline,Mr. Yang,White,Asian
Ms. Boykins,Ms. Attakai,Black,Native
Mr. Erickson,Ms. Medina,White,Hispanic
Mr. Vazquez,Mr. Case,Hispanic,White
Ms. Barrera,Mr. Knapp,Hispanic,White
Mr. Herrera,Ms. Koch,Hispanic,White
Ms. Delgarito,Mr. Huffman,Native,White
Ms. Traore,Ms. Bekele,Black,Black
Ms. Ortiz,Ms. Jalloh,Hispanic,Black
Ms. Ayze,Mr. Frimpong,Native,Black
Mr. Chiu,Mr. Tan,Asian,Asian
Mr. Dosela,Ms. Klein,Native,White
Mr. Keams,Ms. Pineda,Native,Hispanic
Mr. Serrano,Ms. Manygoats,Hispanic,Native
Mr. Hanson,Mr. Swanson,White,White
Ms. Lozano,Ms. Roth,Hispanic,White
Ms. Jeanpierre,Mr. Suarez,Black,Hispanic
Mr. Zamora,Ms. Berhane,Hispanic,Black
Ms. Li,Ms. Meyer,Asian,White
Ms. Hoover,Mr. Eriacho,White,Native
Ms. Yan,Ms. Mueller,Asian,White
Ms. Hensley,Ms. Ko,White,Asian
Mr. Begum,Ms. Vu,Asian,Asian
Mr. Bienaime,Mr. Ruiz,Black,Hispanic
Ms. Wolf,Mr. Weiss,White,White
Ms. Delgado,Mr. Christensen,Hispanic,White
Mr. Talayumptewa,Mr. Mueller,Native,White
Mr. Larson,Ms. Smallcanyon,White,Native
Mr. Escobar,Mr. Toure,Hispanic,Black
Mr. Attakai,Ms. Xu,Native,Asian
Mr. Orozco,Mr. Keyonnie,Hispanic,Native
Ms. Belizaire,Ms. Reilly,Black,White
Mr. Yang,Ms. Adjei,Asian,Black
Mr. Coaxum,Ms. Stfleur,Black,Black
Mr. Yan,Ms. Tesfaye,Asian,Black
Mr. Fluellen,Mr. Heavyrunner,Black,Native
Ms. Ulysse,Mr. Fofana,Black,Black
Ms. Madplume,Ms. Kramer,Native,White
Mr. Beck,Ms. Hoover,White,White
Mr. Bigcrow,Ms. Mayweather,Native,Black
Mr. Roanhorse,Ms. Balogun,Native,Black
Mr. Declay,Ms. Calabaza,Native,Native
Ms. Obrien,Ms. Yepa,White,Native
Ms. Olanna,Mr. Perez,Native,Hispanic
Mr. Nunez,Ms. Figueroa,Hispanic,Hispanic
Mr. Colelay,Mr. Claw,Native,Native
Mr. Cosay,Mr. Sharma,Native,Asian
Ms. Yazzie,Mr. Vu,Native,Asian
Mr. Serrano,Ms. Figueroa,Hispanic,Hispanic
Ms. Birdinground,Mr. Donovan,Native,White
Mr. Metellus,Ms. Schultz,Black,White
Ms. Owen,Ms. Escobar,White,Hispanic
Ms. Njoroge,Ms. Jeanjacques,Black,Black
Mr. Fofana,Mr. Notafraid,Black,Native
Mr. Guo,Ms. Jeancharles,Asian,Black
Ms. Liang,Mr. Cephas,Asian,Black
Mr. Pineda,Mr. Fobbs,Hispanic,Black
Ms. Donovan,Ms. Campos,White,Hispanic
Mr. Patel,Ms. Tsinnie,Asian,Native
Mr. Tran,Mr. Diaz,Asian,Hispanic
Ms. Beyene,Ms. Benallie,Black,Native
Mr. Diaz,Mr. Wang,Hispanic,Asian
Ms. Campos,Mr. Flynn,Hispanic,White
Mr. Fofana,Mr. Molina,Black,Hispanic
Mr. Ortega,Ms. Foley,Hispanic,White
Mr. Swanson,Mr. Peshlakai,White,Native
Mr. Zimmerman,Ms. Su,White,Asian
Ms. Ortega,Mr. Bui,Hispanic,Asian
Ms. Notah,Ms. Opoku,Native,Black
Mr. Knapp,Mr. Dominguez,White,Hispanic
Ms. Yellowhair,Ms. Abdullahi,Native,Black
Ms. Hahn,Mr. Mensah,White,Black
Mr. Tsinnijinnie,Ms. Mcmahon,Native,White
Mr. Rojas,Mr. Calderon,Hispanic,Hispanic
Mr. Xiong,Mr. Laughing,Asian,Native
Ms. Vargas,Mr. Bullbear,Hispanic,Native
Ms. Clah,Mr. Lopez,Native,Hispanic
Ms. Ruiz,Ms. Keller,Hispanic,White
Mr. Birdinground,Ms. Pineda,Native,Hispanic
Ms. Wauneka,Mr. Chu,Native,Asian
Mr. Martinez,Mr. Desta,Hispanic,Black
Ms. Larson,Mr. Smallcanyon,White,Native
Mr. Ortiz,Mr. Rivas,Hispanic,Hispanic
Mr. Delgado,Ms. Campos,Hispanic,Hispanic
Ms. Bigcrow,Ms. Vargas,Native,Hispanic
Ms. Ochoa,Mr. Gishie,Hispanic,Native
Ms. Manygoats,Ms. Chery,Native,Black
Ms. Lo,Ms. Flynn,Asian,White
Ms. Pierrelouis,Mr. Ortega,Black,Hispanic
Mr. Galvan,Mr. Friedman,Hispanic,White
Ms. Aguilar,Mr. Oh,Hispanic,Asian
Ms. Jama,Mr. Olson,Black,White
Ms. Delgado,Ms. Hyppolite,Hispanic,Black
Mr. Chau,Mr. Velez,Asian,Hispanic
Mr. Stein,Ms. Dosela,White,Native
Mr. Lim,Ms. Ulysse,Asian,Black
Ms. Berg,Mr. Osei,White,Black
Ms. Dosela,Ms. Etcitty,Native,Native
Ms. Chinana,Ms. Shije,Native,Native
Ms. Velasquez,Ms. Haskie,Hispanic,Native
Mr. Rivas,Mr. Lasiloo,Hispanic,Native
Ms. Pena,Ms. Hensley,Hispanic,White
Ms. Lara,Mr. Robles,Hispanic,Hispanic
Mr. Goseyun,Ms. Okafor,Native,Black
Ms. Zuniga,Mr. Leung,Hispanic,Asian
Mr. Cao,Ms. Gallagher,Asian,White
Ms. Bah,Mr. Le,Black,Asian
Mr. Koch,Ms. Salinas,White,Hispanic
Mr. Manygoats,Mr. Espinoza,Native,Hispanic
Ms. Shen,Ms. Nielsen,Asian,White
Ms. Cervantes,Mr. Weber,Hispanic,White
Mr. Jiang,Ms. Yellowman,Asian,Native
Ms. Shije,Ms. Atcitty,Native,Native
Ms. Berg,Mr. Maldonado,White,Hispanic
Ms. Schroeder,Ms. Tsosie,White,Native
Ms. Hardnett,Mr. Kanuho,Black,Native
Ms. Nguyen,Ms. Munoz,Asian,Hispanic
Ms. Sandoval,Ms. Mohamud,Hispanic,Black
Ms. Chiu,Mr. Bauer,Asian,White
Mr. Trevino,Ms. Conrad,Hispanic,White
Mr. Declay,Ms. Hyppolite,Native,Black
Ms. Decker,Ms. Rojas,White,Hispanic
Mr. Kallestewa,Ms. Boyle,Native,White
Mr. Robles,Ms. Louissaint,Hispanic,Black
Mr. Tadesse,Mr. Rodriguez,Black,Hispanic
Mr. Blueeyes,Mr. Huffman,Native,White
Ms. Foley,Ms. Yu,White,Asian
Mr. Guo,Ms. Figueroa,Asian,Hispanic
Ms. Larson,Ms. Conteh,White,Black
Ms. Nunez,Mr. Frimpong,Hispanic,Black
Ms. Brandt,Ms. Ethelbah,White,Native
Mr. Cheng,Mr. Velez,Asian,Hispanic
Mr. Dang,Ms. Moyer,Asian,White
Ms. Hernandez,Ms. Tam,Hispanic,Asian
Mr. Ko,Ms. Jiang,Asian,Asian
Mr. Prioleau,Ms. Ayala,Black,Hispanic
Mr. Liang,Mr. Begay,Asian,Native
Ms. Keyonnie,Mr. Schmidt,Native,White
Ms. Kang,Mr. Abebe,Asian,Black
Mr. Sun,Ms. Hwang,Asian,Asian
Ms. Leung,Mr. Chavez,Asian,Hispanic
Ms. Kaur,Ms. Chiu,Asian,Asian
Ms. Altaha,Ms. Peck,Native,White
Mr. Hartman,Ms. Ngo,White,Asian
Mr. Serrano,Ms. Kidane,Hispanic,Black
Ms. Chowdhury,Mr. Bui,Asian,Asian
Mr. Kameroff,Mr. Hailu,Native,Black
Ms. Diaz,Ms. Wang,Hispanic,Asian
Ms. Cayaditto,Ms. Zheng,Native,Asian
Mr. Hensley,Ms. Meza,White,Hispanic
Ms. Fischer,Ms. Vu,White,Asian
Ms. Kline,Mr. Cervantes,White,Hispanic
Ms. Luu,Ms. Zamora,Asian,Hispanic
Mr. Bitsie,Mr. Ryan,Native,White
Ms. Abebe,Mr. Yohannes,Black,Black
Ms. Stein,Ms. Zhu,White,Asian
Ms. Hardnett,Ms. Conteh,Black,Black
Mr. Asante,Ms. Guo,Black,Asian
Mr. Ha,Ms. Delgarito,Asian,Native
Ms. Notafraid,Mr. Cline,Native,White
Mr. Bitsuie,Mr. Tesfaye,Native,Black
Ms. Ngo,Ms. Ruiz,Asian,Hispanic
Ms. Her,Ms. Prophete,Asian,Black
Mr. Yoon,Mr. Jama,Asian,Black
Ms. Hyppolite,Mr. Mccarthy,Black,White
Mr. Schultz,Mr. Yoo,White,Asian
Ms. Contreras,Mr. Figueroa,Hispanic,Hispanic
Ms. Rangel,Mr. Koch,Hispanic,White
Mr. Lara,Mr. Yoo,Hispanic,Asian
Ms. Nielsen,Mr. Ulysse,White,Black
Mr. Apachito,Mr. Calixte,Native,Black
Mr. Trevino,Mr. Yang,Hispanic,Asian
Ms. Littlewhiteman,Mr. Foley,Native,White
Ms. Traore,Ms. Fuentes,Black,Hispanic
Ms. Roth,Mr. Villarreal,White,Hispanic
Mr. Toure,Ms. Parsons,Black,White
Mr. Zheng,Ms. Chinana,Asian,Native
Ms. Mekonnen,Ms. Benally,Black,Native
Ms. Cardenas,Mr. Mendez,Hispanic,Hispanic
Mr. Su,Ms. Herrera,Asian,Hispanic
Ms. Her,Mr. Hu,Asian,Asian
Ms. Blackgoat,Ms. Jeanpierre,Native,Black
Ms. Espinoza,Mr. Spottedhorse,Hispanic,Native
Ms. Fry,Mr. Velasquez,White,Hispanic
Ms. Choi,Mr. Asante,Asian,Black
Ms. Meza,Ms. Henio,Hispanic,Native
Mr. Mensah,Mr. Colelay,Black,Native
Mr. Hurley,Ms. Cephas,White,Black
Ms. Donovan,Ms. Cheng,White,Asian
Ms. Hanson,Mr. Yan,White,Asian
Ms. Villarreal,Ms. Chung,Hispanic,Asian
Ms. Gomez,Ms. Mahoney,Hispanic,White
Mr. Hansen,Ms. Yoo,White,Asian
Ms. Stout,Ms. Bauer,White,White
Ms. Wolf,Ms. Solis,White,Hispanic
Ms. Schwartz,Mr. Traore,White,Black
Mr. Ethelbah,Mr. Patel,Native,Asian
Mr. Ortiz,Mr. Jalloh,Hispanic,Black
Mr. Ho,Ms. Mccarthy,Asian,White
Mr. Todacheene,Ms. Begay,Native,Native
Mr. Lesane,Mr. Huynh,Black,Asian
Ms. Berger,Ms. Avila,White,Hispanic
Ms. Littlewhiteman,Mr. Ma,Native,Asian
Ms. Olsen,Ms. Delgarito,White,Native
Mr. Henio,Mr. Yang,Native,Asian
Mr. Wigfall,Mr. Zhao,Black,Asian
Mr. Chu,Ms. Chavez,Asian,Hispanic
Mr. Nez,Ms. Lawal,Native,Black
Ms. Luu,Mr. Zamora,Asian,Hispanic
Mr. Colelay,Ms. Claw,Native,Native
Mr. Zhao,Ms. Arias,Asian,Hispanic
Mr. Ojo,Ms. Gomez,Black,Hispanic
Ms. Figueroa,Mr. Goldtooth,Hispanic,Native
Mr. Roanhorse,Mr. Vazquez,Native,Hispanic
Ms. Boyle,Mr. Ramirez,White,Hispanic
Ms. Ibarra,Mr. Tabaha,Hispanic,Native
Mr. Vu,Mr. Ly,Asian,Asian
Mr. Zhu,Mr. Fobbs,Asian,Black
Mr. Yan,Mr. Lor,Asian,Asian
Mr. Kidane,Ms. Edouard,Black,Black
Ms. Campos,Mr. Wigfall,Hispanic,Black
Mr. Abebe,Ms. Krueger,Black,White
Ms. Cabrera,Ms. Ganadonegro,Hispanic,Native
Mr. Tsinnie,Ms. Carlson,Native,White
Ms. Klein,Mr. Velazquez,White,Hispanic
Ms. Haskie,Mr. Asare,Native,Black
Ms. Prophete,Mr. Cayaditto,Black,Native
Mr. Tsosie,Ms. Chen,Native,Asian
Mr. Chau,Mr. Kramer,Asian,White
Ms. Coaxum,Mr. Pineda,Black,Hispanic
Ms. Conrad,Ms. Duong,White,Asian
Ms. Medina,Mr. Castaneda,Hispanic,Hispanic
Mr. Werito,Mr. Ruiz,Native,Hispanic
Ms. Nielsen,Ms. Xu,White,Asian
Ms. Cheung,Ms. Etsitty,Asian,Native
Ms. Chu,Mr. Chavez,Asian,Hispanic
Mr. Oneill,Mr. Grandberry,White,Black
Ms. Hoang,Ms. Yan,Asian,Asian
Mr. Cheung,Ms. Etsitty,Asian,Native
Mr. Pena,Mr. Tessay,Hispanic,Native
Mr. Metellus,Ms. Medina,Black,Hispanic
Ms. Prioleau,Ms. Mondesir,Black,Black
Mr. Lim,Ms. Zamora,Asian,Hispanic
Ms. Foley,Ms. Gadson,White,Black
Mr. Littlewhiteman,Ms. Calderon,Native,Hispanic
Mr. Truong,Ms. Luu,Asian,Asian
Mr. Kwon,Mr. Smallcanyon,Asian,Native
Mr. Beck,Mr. Gadson,White,Black
Mr. Hoang,Ms. Fuentes,Asian,Hispanic
Ms. Edouard,Ms. Berg,Black,White
Ms. Addo,Ms. Goseyun,Black,Native
Ms. Kang,Mr. Zhao,Asian,Asian
Ms. Asare,Ms. Kwon,Black,Asian
Mr. Blankenship,Mr. Atcitty,White,Native
Ms. Kamara,Ms. Shije,Black,Native
Ms. Mcmahon,Mr. Laughing,White,Native
Ms. Morales,Mr. Oconnor,Hispanic,White
